Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
MX28,MX-NoLED,SW_MX_HS_1u,142.08125,-78.58125,0.0,bottom
MX29,MX-NoLED,SW_MX_HS_1u,146.84375,-97.63125,0.0,bottom
MX30,MX-NoLED,SW_MX_HS_1u,156.36875,-116.68125,0.0,bottom
MX31,MX-NoLED,MXOnly-7U-Hotswap-ReversedStabilizers,161.13125,-135.73125,0.0,top
MX33,MX-NoLED,SW_MX_HS_1u,163.5125,-54.76875,0.0,bottom
MX34,MX-NoLED,SW_MX_HS_1u,161.13125,-78.58125,0.0,bottom
MX35,MX-NoLED,SW_MX_HS_1u,165.89375,-97.63125,0.0,bottom
MX36,MX-NoLED,SW_MX_HS_1u,175.41875,-116.68125,0.0,bottom
MX37,MX-NoLED,SW_MX_HS_1u,182.5625,-54.76875,0.0,bottom
MX38,MX-NoLED,SW_MX_HS_1u,180.18125,-78.58125,0.0,bottom
MX39,MX-NoLED,SW_MX_HS_1u,184.94375,-97.63125,0.0,bottom
MX40,MX-NoLED,SW_MX_HS_1u,194.46875,-116.68125,0.0,bottom
MX41,MX-NoLED,MXOnly-2.75U-Hotswap-ReversedStabilizers,182.5625,-135.73125,0.0,top
MX42,MX-NoLED,SW_MX_HS_1u,201.6125,-54.76875,0.0,bottom
MX43,MX-NoLED,SW_MX_HS_1u,199.23125,-78.58125,0.0,bottom
MX44,MX-NoLED,SW_MX_HS_1u,203.99375,-97.63125,0.0,bottom
MX45,MX-NoLED,SW_MX_HS_1u,213.51875,-116.68125,0.0,bottom
MX46,MX-NoLED,SW_MX_HS_1u,227.8225,-54.76875,0.0,bottom
MX47,MX-NoLED,SW_MX_HS_1u,218.28125,-78.58125,0.0,bottom
MX48,MX-NoLED,SW_MX_HS_1u,223.04375,-97.63125,0.0,bottom
MX49,MX-NoLED,SW_MX_HS_1u,232.56875,-116.68125,0.0,bottom
MX51,MX-NoLED,SW_MX_HS_1.25u,239.7125,-135.73125,0.0,bottom
MX52,MX-NoLED,SW_MX_HS_1u,246.85625,-54.76875,0.0,bottom
MX53,MX-NoLED,SW_MX_HS_1u,237.33125,-78.58125,0.0,bottom
MX54,MX-NoLED,SW_MX_HS_1u,242.09375,-97.63125,0.0,bottom
MX55,MX-NoLED,SW_MX_HS_1u,251.61875,-116.68125,0.0,bottom
MX56,MX-NoLED,SW_MX_HS_1u,261.14375,-135.73125,0.0,bottom
MX57,MX-NoLED,SW_MX_HS_1u,265.90625,-54.76875,0.0,bottom
MX59,MX-NoLED,MXOnly-2.25U-Hotswap-ReversedStabilizers,273.05,-97.63125,0.0,top
MX60,MX-NoLED,SW_MX_HS_1.5u,261.14375,-78.58125,0.0,bottom
MX61,MX-NoLED,SW_MX_HS_1u,284.95625,-54.76875,0.0,bottom
MX63,MX-NoLED,SW_MX_HS_1.75u,277.8125,-116.68125,0.0,bottom
MX64,MX-NoLED,SW_MX_HS_1.25u,282.575,-135.73125,0.0,bottom
MX65,MX-NoLED,SW_MX_HS_1u,284.95625,-78.58125,0.0,bottom
MX66,MX-NoLED,SW_MX_HS_1u,308.76875,-78.58125,0.0,bottom
MX67,MX-NoLED,SW_MX_HS_1u,308.76875,-97.63125,0.0,bottom
MX68,MX-NoLED,SW_MX_HS_1u,308.76875,-116.68125,0.0,bottom
MX69,MX-NoLED,SW_MX_HS_1u,308.76875,-135.73125,0.0,bottom
R1,1k,R_0402_1005Metric,47.035,-102.78125,90.0,bottom
R2,27,R_0402_1005Metric,57.9625,-63.3475,0.0,bottom
R3,27,R_0402_1005Metric,57.9625,-62.2875,0.0,bottom
R4,1k,R_0402_1005Metric,57.79,-101.74,90.0,bottom
R5,1k,R_0402_1005Metric,42.9925,-64.1275,180.0,bottom
SW1,Boot,SW_SPST_TL3342,52.68,-104.15,180.0,bottom
SW2,Reset,SW_SPST_TL3342,42.125,-104.16125,0.0,bottom
U1,RP2040,RP2040-QFN-56,50.2525,-64.4775,90.0,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,65.84,-68.53,0.0,bottom
U3,XC6206PxxxMR,SOT-23,65.13,-59.96,180.0,bottom
U4,PRTR5V0U2X,SOT143B,72.405,-65.87125,90.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,39.7525,-65.2275,270.0,bottom
